x,y,label
-16.5,-18.5,False
-15.0,-25.0,True
-26.5,-25.5,False
-31.5,-10.5,False
-36.5,7.5,False
-41.5,25.5,False
-46.5,40.5,False
-51.5,49.5,False
-56.5,49.5,False
-61.5,37.5,False
-66.5,21.5,False
-71.5,5.5,False
-76.5,-10.5,False
-81.5,-26.5,False
425.0,-211.0,True
413.5,-211.5,False
408.5,-196.5,False
403.5,-178.5,False
398.5,-160.5,False
393.5,-145.5,False
388.5,-136.5,False
383.5,-136.5,False
378.5,-148.5,False
373.5,-164.5,False
368.5,-180.5,False
363.5,-196.5,False
365.0,-203.0,True
353.5,-203.5,False
348.5,-188.5,False
343.5,-170.5,False
338.5,-152.5,False
333.5,-137.5,False
328.5,-128.5,False
323.5,-128.5,False
318.5,-140.5,False
313.5,-156.5,False
308.5,-172.5,False
303.5,-188.5,False
298.5,-204.5,False
300.0,-211.0,True
288.5,-211.5,False
283.5,-196.5,False
278.5,-178.5,False
273.5,-160.5,False
268.5,-145.5,False
263.5,-136.5,False
258.5,-136.5,False
253.5,-148.5,False
255.0,-155.0,True
243.5,-155.5,False
238.5,-140.5,False
233.5,-122.5,False
228.5,-104.5,False
230.0,-80.0,True
218.5,-80.5,False
213.5,-65.5,False
208.5,-47.5,False
203.5,-29.5,False
205.0,-5.0,True
193.5,-5.5,False
188.5,9.5,False
183.5,27.5,False
178.5,45.5,False
173.5,60.5,False
168.5,69.5,False
163.5,69.5,False
158.5,57.5,False
153.5,41.5,False
148.5,25.5,False
143.5,9.5,False
138.5,-6.5,False
140.0,-13.0,True
128.5,-13.5,False
123.5,1.5,False
118.5,19.5,False
113.5,37.5,False
108.5,52.5,False
103.5,61.5,False
98.5,61.5,False
93.5,49.5,False
88.5,33.5,False
83.5,17.5,False
78.5,1.5,False
73.5,-14.5,False
71.0,-26.5,False
70.0,-37.0,True
58.5,-37.5,False
53.5,-22.5,False
48.5,-4.5,False
43.5,13.5,False
38.5,28.5,False
33.5,37.5,False
28.5,37.5,False
23.5,25.5,False
18.5,9.5,False
13.5,-6.5,False
8.5,-22.5,False
10.0,-29.0,True
-1.5,-29.5,False
-6.5,-14.5,False
-11.5,3.5,False
-16.5,21.5,False
-21.5,36.5,False
-26.5,45.5,False
-31.5,45.5,False
-36.5,33.5,False
-41.5,17.5,False
-46.5,1.5,False
-51.5,-14.5,False
-50.0,-21.0,True
-61.5,-21.5,False
-66.5,-6.5,False
-71.5,11.5,False
-76.5,29.5,False
-81.5,44.5,False
418.5,301.5,False
413.5,301.5,False
408.5,289.5,False
403.5,273.5,False
398.5,257.5,False
393.5,241.5,False
388.5,225.5,False
390.0,219.0,True
378.5,218.5,False
373.5,233.5,False
368.5,251.5,False
363.5,269.5,False
358.5,284.5,False
353.5,293.5,False
348.5,293.5,False
343.5,281.5,False
338.5,265.5,False
333.5,249.5,False
328.5,233.5,False
323.5,217.5,False
325.0,211.0,True
313.5,210.5,False
308.5,225.5,False
303.5,243.5,False
298.5,261.5,False
293.5,276.5,False
288.5,285.5,False
283.5,285.5,False
278.5,273.5,False
273.5,257.5,False
268.5,241.5,False
263.5,225.5,False
258.5,209.5,False
260.0,203.0,True
248.5,202.5,False
243.5,217.5,False
238.5,235.5,False
233.5,253.5,False
228.5,268.5,False
223.5,277.5,False
218.5,277.5,False
213.5,265.5,False
208.5,249.5,False
203.5,233.5,False
198.5,217.5,False
193.5,201.5,False
191.0,189.5,False
190.0,179.0,False
181.0,157.5,False
173.5,137.5,False
168.5,119.5,False
165.5,103.5,False
164.5,90.0,False
165.0,78.0,False
160.0,62.0,False
155.0,46.0,False
150.0,30.0,False
145.0,14.0,False
140.0,-2.0,False
135.0,-18.0,False
130.0,-34.0,False
120.0,-45.0,True
108.5,-45.5,False
103.5,-30.5,False
98.5,-12.5,False
93.5,5.5,False
88.5,20.5,False
83.5,29.5,False
78.5,29.5,False
73.5,17.5,False
68.5,1.5,False
63.5,-14.5,False
58.5,-30.5,False
60.0,-37.0,True
48.5,-37.5,False
43.5,-22.5,False
38.5,-4.5,False
33.5,13.5,False
28.5,28.5,False
23.5,37.5,False
18.5,37.5,False
13.5,25.5,False
8.5,9.5,False
3.5,-6.5,False
-1.5,-22.5,False
0.0,-29.0,True
-11.5,-29.5,False
-16.5,-14.5,False
-21.5,3.5,False
-26.5,21.5,False
-31.5,36.5,False
-36.5,45.5,False
-41.5,45.5,False
-46.5,33.5,False
-51.5,17.5,False
-56.5,1.5,False
-61.5,-14.5,False
-60.0,-21.0,True
-71.5,-21.5,False
-76.5,-6.5,False
-81.5,11.5,False
418.5,7.5,False
413.5,22.5,False
408.5,31.5,False
403.5,31.5,False
398.5,19.5,False
393.5,3.5,False
388.5,-12.5,False
383.5,-28.5,False
378.5,-44.5,False
380.0,-51.0,True
368.5,-51.5,False
363.5,-36.5,False
358.5,-18.5,False
353.5,-0.5,False
348.5,14.5,False
343.5,23.5,False
338.5,23.5,False
333.5,11.5,False
335.0,5.0,True
323.5,4.5,False
318.5,19.5,False
313.5,37.5,False
308.5,55.5,False
310.0,80.0,True
298.5,79.5,False
293.5,94.5,False
288.5,112.5,False
283.5,130.5,False
278.5,145.5,False
280.0,164.0,True
268.5,163.5,False
263.5,178.5,False
258.5,196.5,False
253.5,214.5,False
248.5,229.5,False
243.5,238.5,False
238.5,238.5,False
233.5,226.5,False
228.5,210.5,False
223.5,194.5,False
218.5,178.5,False
213.5,162.5,False
211.0,150.5,False
210.0,140.0,False
201.0,118.5,False
193.5,98.5,False
188.5,80.5,False
185.5,64.5,False
184.5,51.0,False
185.0,39.0,False
180.0,23.0,False
175.0,7.0,False
165.0,-4.0,True
153.5,-4.5,False
148.5,10.5,False
143.5,28.5,False
138.5,46.5,False
133.5,61.5,False
128.5,70.5,False
123.5,70.5,False
118.5,58.5,False
113.5,42.5,False
108.5,26.5,False
103.5,10.5,False
98.5,-5.5,False
96.0,-17.5,False
95.0,-28.0,False
90.0,-44.0,True
78.5,-44.5,False
73.5,-29.5,False
68.5,-11.5,False
63.5,6.5,False
58.5,21.5,False
53.5,30.5,False
48.5,30.5,False
43.5,18.5,False
38.5,2.5,False
33.5,-13.5,False
28.5,-29.5,False
23.5,-45.5,False
25.0,-52.0,True
13.5,-52.5,False
8.5,-37.5,False
3.5,-19.5,False
-1.5,-1.5,False
-6.5,13.5,False
-11.5,22.5,False
-16.5,22.5,False
-21.5,10.5,False
-26.5,-5.5,False
-31.5,-21.5,False
-36.5,-37.5,False
-41.5,-53.5,False
-40.0,-60.0,True
-51.5,-60.5,False
-56.5,-45.5,False
-61.5,-27.5,False
-66.5,-9.5,False
-71.5,5.5,False
-76.5,14.5,False
-81.5,14.5,False
418.5,9.5,False
413.5,-6.5,False
408.5,-22.5,False
410.0,-29.0,True
398.5,-29.5,False
393.5,-14.5,False
388.5,3.5,False
383.5,21.5,False
378.5,36.5,False
373.5,45.5,False
368.5,45.5,False
363.5,33.5,False
358.5,17.5,False
353.5,1.5,False
348.5,-14.5,False
350.0,-21.0,True
338.5,-21.5,False
333.5,-6.5,False
328.5,11.5,False
323.5,29.5,False
318.5,44.5,False
313.5,53.5,False
308.5,53.5,False
303.5,41.5,False
298.5,25.5,False
293.5,9.5,False
295.0,3.0,True
283.5,2.5,False
278.5,17.5,False
273.5,35.5,False
268.5,53.5,False
263.5,68.5,False
258.5,77.5,False
253.5,77.5,False
248.5,65.5,False
243.5,49.5,False
238.5,33.5,False
233.5,17.5,False
228.5,1.5,False
226.0,-10.5,False
225.0,-21.0,False
220.0,-37.0,True
208.5,-37.5,False
203.5,-22.5,False
198.5,-4.5,False
193.5,13.5,False
188.5,28.5,False
183.5,37.5,False
178.5,37.5,False
173.5,25.5,False
168.5,9.5,False
163.5,-6.5,False
165.0,-13.0,True
153.5,-13.5,False
148.5,1.5,False
143.5,19.5,False
138.5,37.5,False
133.5,52.5,False
128.5,61.5,False
123.5,61.5,False
118.5,49.5,False
113.5,33.5,False
108.5,17.5,False
103.5,1.5,False
98.5,-14.5,False
96.0,-26.5,False
95.0,-37.0,True
83.5,-37.5,False
78.5,-22.5,False
73.5,-4.5,False
68.5,13.5,False
63.5,28.5,False
58.5,37.5,False
53.5,37.5,False
48.5,25.5,False
43.5,9.5,False
38.5,-6.5,False
33.5,-22.5,False
35.0,-29.0,True
23.5,-29.5,False
18.5,-14.5,False
13.5,3.5,False
8.5,21.5,False
3.5,36.5,False
-1.5,45.5,False
-6.5,45.5,False
-11.5,33.5,False
-16.5,17.5,False
-21.5,1.5,False
-26.5,-14.5,False
-25.0,-21.0,True
-36.5,-21.5,False
-41.5,-6.5,False
-46.5,11.5,False
-51.5,29.5,False
-56.5,44.5,False
-61.5,53.5,False
-66.5,53.5,False
-71.5,41.5,False
-76.5,25.5,False
-81.5,9.5,False
418.5,-280.5,False
413.5,-296.5,False
415.0,-303.0,True
403.5,-303.5,False
398.5,-288.5,False
393.5,-270.5,False
388.5,-252.5,False
383.5,-237.5,False
378.5,-228.5,False
373.5,-228.5,False
368.5,-240.5,False
363.5,-256.5,False
358.5,-272.5,False
360.0,-279.0,True
348.5,-279.5,False
343.5,-264.5,False
338.5,-246.5,False
333.5,-228.5,False
328.5,-213.5,False
323.5,-204.5,False
318.5,-204.5,False
313.5,-216.5,False
308.5,-232.5,False
303.5,-248.5,False
298.5,-264.5,False
293.5,-280.5,False
295.0,-287.0,True
283.5,-287.5,False
278.5,-272.5,False
273.5,-254.5,False
268.5,-236.5,False
263.5,-221.5,False
258.5,-212.5,False
253.5,-212.5,False
248.5,-224.5,False
250.0,-231.0,True
238.5,-231.5,False
233.5,-216.5,False
228.5,-198.5,False
230.0,-171.0,True
218.5,-171.5,False
213.5,-156.5,False
208.5,-138.5,False
203.5,-120.5,False
205.0,-96.0,True
193.5,-96.5,False
188.5,-81.5,False
183.5,-63.5,False
178.5,-45.5,False
180.0,-21.0,True
168.5,-21.5,False
163.5,-6.5,False
158.5,11.5,False
153.5,29.5,False
148.5,44.5,False
143.5,53.5,False
138.5,53.5,False
133.5,41.5,False
128.5,25.5,False
123.5,9.5,False
118.5,-6.5,False
113.5,-22.5,False
111.0,-34.5,False
110.0,-45.0,True
98.5,-45.5,False
93.5,-30.5,False
88.5,-12.5,False
83.5,5.5,False
78.5,20.5,False
73.5,29.5,False
68.5,29.5,False
63.5,17.5,False
58.5,1.5,False
53.5,-14.5,False
48.5,-30.5,False
43.5,-46.5,False
45.0,-53.0,True
33.5,-53.5,False
28.5,-38.5,False
23.5,-20.5,False
18.5,-2.5,False
13.5,12.5,False
8.5,21.5,False
3.5,21.5,False
-1.5,9.5,False
-6.5,-6.5,False
-11.5,-22.5,False
-16.5,-38.5,False
-21.5,-54.5,False
-20.0,-61.0,True
-31.5,-61.5,False
-36.5,-46.5,False
-41.5,-28.5,False
-46.5,-10.5,False
-51.5,4.5,False
-56.5,13.5,False
-61.5,13.5,False
-66.5,1.5,False
-71.5,-14.5,False
-76.5,-30.5,False
-81.5,-46.5,False
425.0,-75.0,True
413.5,-75.5,False
408.5,-60.5,False
403.5,-42.5,False
398.5,-24.5,False
393.5,-9.5,False
388.5,-0.5,False
383.5,-0.5,False
378.5,-12.5,False
373.5,-28.5,False
368.5,-44.5,False
363.5,-60.5,False
358.5,-76.5,False
356.0,-88.5,False
355.0,-99.0,False
346.0,-120.5,False
338.5,-140.5,False
333.5,-158.5,False
330.5,-174.5,False
329.5,-188.0,False
330.0,-200.0,False
320.0,-211.0,True
308.5,-211.5,False
303.5,-196.5,False
298.5,-178.5,False
293.5,-160.5,False
288.5,-145.5,False
283.5,-136.5,False
278.5,-136.5,False
273.5,-148.5,False
268.5,-164.5,False
270.0,-171.0,True
258.5,-171.5,False
253.5,-156.5,False
248.5,-138.5,False
243.5,-120.5,False
238.5,-105.5,False
233.5,-96.5,False
228.5,-96.5,False
230.0,-99.0,True
218.5,-99.5,False
213.5,-84.5,False
208.5,-66.5,False
203.5,-48.5,False
198.5,-33.5,False
193.5,-24.5,False
188.5,-24.5,False
183.5,-36.5,False
178.5,-52.5,False
173.5,-68.5,False
175.0,-75.0,True
163.5,-75.5,False
158.5,-60.5,False
153.5,-42.5,False
148.5,-24.5,False
143.5,-9.5,False
138.5,-0.5,False
133.5,-0.5,False
128.5,-12.5,False
123.5,-28.5,False
118.5,-44.5,False
113.5,-60.5,False
108.5,-76.5,False
110.0,-83.0,True
98.5,-83.5,False
93.5,-68.5,False
88.5,-50.5,False
83.5,-32.5,False
78.5,-17.5,False
73.5,-8.5,False
68.5,-8.5,False
63.5,-20.5,False
65.0,-27.0,True
53.5,-27.5,False
48.5,-12.5,False
43.5,5.5,False
38.5,23.5,False
33.5,38.5,False
28.5,47.5,False
23.5,47.5,False
18.5,35.5,False
13.5,19.5,False
8.5,3.5,False
3.5,-12.5,False
